"age","attitude","points","gender","deep","surf","stra"
27,2.5,18,"M",4.375,2.41666666666667,3.125
25,3.2,19,"M",3.5,3,3.25
23,3.2,22,"M",3,3.41666666666667,2.125
23,2.6,25,"F",4.125,2.91666666666667,2.75
23,2.3,21,"F",3.125,3.25,2.375
45,3.8,9,"F",3.625,3.25,3.125
22,2.8,28,"F",4.125,2.33333333333333,4
23,3.3,25,"F",3,3.25,4
21,4.8,29,"M",3.5,2.5,2.25
21,4,33,"M",4.375,1.75,3.25
21,4,33,"F",4.25,2.25,3.625
21,4.7,25,"F",3.875,2.08333333333333,3.625
26,2.3,18,"F",3.375,2.83333333333333,2.5
25,3.1,22,"F",4.5,2.83333333333333,1.875
26,2.7,17,"F",3.625,2.41666666666667,2
21,4.1,25,"M",3.625,2.25,1.875
23,3.4,28,"F",3.5,2.83333333333333,4
22,2.5,22,"F",3.75,2.25,2.875
22,2.1,26,"F",1.625,1.83333333333333,3.875
22,1.4,11,"F",3.625,2.91666666666667,2.5
23,1.9,29,"F",4.5,2.91666666666667,2.75
22,3.7,22,"M",4.375,2.08333333333333,4.5
23,3.2,21,"M",4.875,2.33333333333333,3.375
24,2.8,28,"M",2.875,2.41666666666667,2.625
22,4.1,33,"F",3.125,2.75,4.125
23,2.5,16,"F",4,3.25,2.625
22,2.8,31,"M",4.375,1.75,2.25
20,3.8,22,"M",3.75,2.58333333333333,2.75
22,3.1,31,"M",3.375,3.33333333333333,3
21,3.5,23,"M",4.75,2.83333333333333,1.625
22,3.6,26,"F",4.375,2.5,1.875
23,2.6,12,"F",4.25,2.41666666666667,3.375
21,4.4,26,"M",4.75,2.41666666666667,3.75
22,4.5,31,"M",3.5,2.58333333333333,2.125
29,3.2,19,"M",3.625,3,2.375
29,3.9,30,"F",3.625,2,2.75
21,2.5,12,"F",3.5,3.41666666666667,3.125
28,3.3,17,"M",3.625,2.83333333333333,3.5
21,3.3,18,"F",4.25,2.25,2.625
30,3,19,"F",4,2.75,3.375
21,2.9,21,"F",4.125,3.91666666666667,2.25
23,3.3,24,"M",3.75,2.33333333333333,3
21,3.3,28,"F",3.875,2.75,4
21,3.5,17,"F",4,2.75,3.5
20,3.6,18,"F",3.5,2.91666666666667,2.625
22,3.7,17,"M",4.375,2.08333333333333,2.5
21,4.2,23,"M",3.875,3.66666666666667,3.75
21,3.2,26,"M",4.375,2.83333333333333,3.625
20,5,28,"F",4.25,3.41666666666667,4.125
22,4.7,31,"M",3.875,1.58333333333333,4.375
20,3.6,27,"F",4.625,2.91666666666667,2.625
20,3.6,25,"F",3.875,3,4
24,2.9,23,"M",4,2.91666666666667,2.75
20,3.5,21,"F",4.125,2.66666666666667,2.75
19,4,27,"F",2.5,3,1.375
21,3.5,28,"F",3.75,2.75,2.25
21,3.2,23,"F",3.25,3.08333333333333,3.625
22,2.6,21,"F",4.25,2.5,3.75
25,2,25,"F",3.25,2.33333333333333,4
21,2.7,11,"F",3.25,3,3.125
22,3.2,19,"F",4.25,3,3.25
25,3.3,24,"F",2.375,4,2.125
20,3.9,28,"F",3.5,3.25,2.875
24,3.3,21,"M",3,3.5,1.5
20,3,24,"F",2.875,3.5,2.5
21,3.7,24,"M",3.25,3.83333333333333,3.25
20,2.5,20,"F",4,2.91666666666667,3.625
20,2.9,19,"F",3.75,2.16666666666667,3.875
31,3.9,30,"M",4.375,1.66666666666667,3.875
20,3.6,22,"F",4.5,2.08333333333333,2.375
22,2.9,16,"F",3.875,2.83333333333333,3
22,2.1,16,"F",3.375,3.41666666666667,3.375
21,3.1,19,"M",3.5,3.33333333333333,2.75
22,4,30,"M",3.5,2.58333333333333,4.5
21,3.1,23,"F",4.5,2.83333333333333,2.625
21,2.3,19,"F",4.375,3.33333333333333,2.75
21,2.8,18,"F",4.125,3,3.25
21,3.7,28,"F",4.375,2.58333333333333,4.125
20,2.6,21,"F",3.5,2.41666666666667,3.375
21,2.4,19,"F",4,3.58333333333333,2.75
25,3,27,"F",3.875,2.08333333333333,4.125
21,2.8,24,"M",2.125,4.33333333333333,3.25
24,2.9,21,"F",4.375,2.66666666666667,2.875
20,2.4,20,"F",4,3,2.875
21,3.1,28,"M",4.125,2.66666666666667,2.375
20,1.9,12,"F",3.75,2.16666666666667,3.875
20,2,21,"F",3.875,2.66666666666667,2.125
18,3.8,28,"F",3.5,2.25,4
21,3.4,31,"F",3.75,2.66666666666667,3.25
19,3.7,18,"F",3.5,3.33333333333333,2.625
21,2.9,25,"F",4.875,3.5,2.75
20,2.3,19,"F",3.125,2.75,4
21,4.1,21,"M",4.375,2,3
20,2.7,16,"F",3.375,2.83333333333333,3.375
21,3.5,7,"F",4,3.5,3.875
20,3.4,21,"F",3.625,2.5,3.25
18,3.2,17,"F",4.75,3.16666666666667,3.375
22,3.3,22,"M",3.5,3.08333333333333,4.125
22,3.3,18,"F",3.75,2.91666666666667,3.5
24,3.5,25,"M",2.5,3.16666666666667,2
19,3.2,24,"F",4.25,2.5,3.625
20,3.1,23,"F",3.375,3.83333333333333,3.375
20,2.8,23,"F",4.375,2.25,2.125
17,1.7,26,"F",4.25,3.41666666666667,4.625
19,1.9,12,"M",2.75,3.75,2.5
20,3.5,32,"F",3,3,2.875
20,2.4,22,"F",4,2.58333333333333,2.75
20,2.1,20,"F",4.5,3.33333333333333,4
20,2.9,21,"F",4.375,2.83333333333333,2.375
19,1.9,23,"F",3.125,3,3.875
19,2,20,"F",4.25,2.83333333333333,3.375
22,4.2,28,"F",2.875,3.16666666666667,1.75
35,4.1,31,"M",4,2.75,3
18,3.7,18,"F",3.25,3.41666666666667,2.625
19,3.6,30,"F",3.625,3,2.625
21,1.8,19,"M",3.875,2.66666666666667,3.375
